customer_id,persona,uplift_segment_true,signup_date,acquisition_month,region,device_type,acquisition_channel,coupon_affinity,price_sensitivity,discount_fatigue_sensitivity,offer_dependency_risk,brand_sensitivity,total_orders,total_net_sales,avg_order_value,coupon_order_ratio,total_exposures,avg_coupon_cost,snapshot_date,current_status,inactivity_days,recent_visit_score,recent_purchase_score,recent_exposure_score
14576147,explorer,lost_cause,2012-04-02,2012-04,market_11,offline_store,coupon_offer,0.0,0.233607,0.046143,0.0,0.6,8,2809.4700000000003,351.18375000000003,0.0,1,7500.0,2013-08-14,churn_risk,147,0.0,0.0,0.0
16203579,regular_loyal,sure_thing,2012-03-25,2012-03,market_9,offline_store,coupon_offer,0.000147,0.250082,0.187409,0.0,0.599804,12,8529.61,710.8008333333333,0.16666666666666666,1,7500.0,2013-08-14,churn_risk,143,0.0,0.0,0.0
18938874,explorer,lost_cause,2012-03-26,2012-03,market_14,offline_store,coupon_offer,0.0,0.247268,0.025482,0.0,0.6,6,2776.4700000000003,462.74500000000006,0.0,1,7500.0,2013-08-14,churn_risk,144,0.0,0.0,0.0
50622160,explorer,lost_cause,2012-03-31,2012-03,market_11,offline_store,coupon_offer,0.0,0.199454,0.018595,0.0,0.6,5,1160.1100000000001,232.02200000000002,0.0,1,7500.0,2013-08-14,churn_risk,174,0.0,0.0,0.0
52598384,explorer,sure_thing,2012-03-25,2012-03,market_14,offline_store,coupon_offer,0.000223,0.25,0.047644,0.000491,0.6,8,4331.28,541.41,0.25,1,7500.0,2013-08-14,churn_risk,143,0.0,0.0,0.0
55431649,explorer,lost_cause,2012-03-26,2012-03,market_4,offline_store,coupon_offer,0.0,0.236339,0.0427,0.0,0.6,8,1905.9,238.2375,0.125,1,7500.0,2013-08-14,churn_risk,152,0.0,0.0,0.0
59585609,explorer,lost_cause,2012-04-24,2012-04,market_11,offline_store,coupon_offer,0.000295,0.226776,0.031154,0.00065,0.6,7,2522.4300000000003,360.3471428571429,0.14285714285714285,1,7500.0,2013-08-14,churn_risk,130,0.0,0.0,0.0
65519775,price_sensitive,sleeping_dog,2012-04-28,2012-04,market_4,offline_store,coupon_offer,0.085876,0.514117,0.214817,0.006358,0.602543,9,2400.25,266.69444444444446,0.1111111111111111,1,20000.0,2013-08-14,churn_risk,119,0.0,0.0,0.0
67317718,explorer,lost_cause,2012-03-29,2012-03,market_9,offline_store,coupon_offer,0.001744,0.243169,0.034017,0.003836,0.6,7,1792.14,256.02000000000004,0.0,1,7500.0,2013-08-14,churn_risk,144,0.0,0.0,0.0
70312933,explorer,lost_cause,2012-03-27,2012-03,market_1,offline_store,coupon_offer,0.0,0.247268,0.042011,0.0,0.6,8,5024.95,628.11875,0.125,1,7500.0,2013-08-14,churn_risk,143,0.0,0.0,0.0
77801039,explorer,lost_cause,2012-04-17,2012-04,market_1,offline_store,coupon_offer,0.0,0.222678,0.039945,0.0,0.6,8,4443.87,555.48375,0.125,1,7500.0,2013-08-14,churn_risk,140,0.0,0.0,0.0
78533743,price_sensitive,lost_cause,2012-03-29,2012-03,market_14,offline_store,coupon_offer,0.001052,0.240732,0.046033,0.001146,0.599292,8,2956.98,369.6225,0.25,1,7500.0,2013-08-14,churn_risk,146,0.0,0.0,0.0
78774376,price_sensitive,lost_cause,2012-03-25,2012-03,market_9,offline_store,coupon_offer,0.000805,0.250291,0.132674,0.000617,0.599301,12,9752.7,812.725,0.0,1,7500.0,2013-08-14,churn_risk,143,0.0,0.0,0.0
