customer_id,persona,uplift_segment_true,signup_date,acquisition_month,region,device_type,acquisition_channel,coupon_affinity,price_sensitivity,discount_fatigue_sensitivity,offer_dependency_risk,brand_sensitivity
14576147,explorer,lost_cause,2012-04-02,2012-04,market_11,offline_store,coupon_offer,0.0,0.233607,0.046143,0.0,0.6
16203579,regular_loyal,sure_thing,2012-03-25,2012-03,market_9,offline_store,coupon_offer,0.000147,0.250082,0.187409,0.0,0.599804
18938874,explorer,lost_cause,2012-03-26,2012-03,market_14,offline_store,coupon_offer,0.0,0.247268,0.025482,0.0,0.6
50622160,explorer,lost_cause,2012-03-31,2012-03,market_11,offline_store,coupon_offer,0.0,0.199454,0.018595,0.0,0.6
52598384,explorer,sure_thing,2012-03-25,2012-03,market_14,offline_store,coupon_offer,0.000223,0.25,0.047644,0.000491,0.6
55431649,explorer,lost_cause,2012-03-26,2012-03,market_4,offline_store,coupon_offer,0.0,0.236339,0.0427,0.0,0.6
59585609,explorer,lost_cause,2012-04-24,2012-04,market_11,offline_store,coupon_offer,0.000295,0.226776,0.031154,0.00065,0.6
65519775,price_sensitive,sleeping_dog,2012-04-28,2012-04,market_4,offline_store,coupon_offer,0.085876,0.514117,0.214817,0.006358,0.602543
67317718,explorer,lost_cause,2012-03-29,2012-03,market_9,offline_store,coupon_offer,0.001744,0.243169,0.034017,0.003836,0.6
70312933,explorer,lost_cause,2012-03-27,2012-03,market_1,offline_store,coupon_offer,0.0,0.247268,0.042011,0.0,0.6
77801039,explorer,lost_cause,2012-04-17,2012-04,market_1,offline_store,coupon_offer,0.0,0.222678,0.039945,0.0,0.6
78533743,price_sensitive,lost_cause,2012-03-29,2012-03,market_14,offline_store,coupon_offer,0.001052,0.240732,0.046033,0.001146,0.599292
78774376,price_sensitive,lost_cause,2012-03-25,2012-03,market_9,offline_store,coupon_offer,0.000805,0.250291,0.132674,0.000617,0.599301
79296732,explorer,lost_cause,2012-03-31,2012-03,market_9,offline_store,coupon_offer,0.0,0.241803,0.022039,0.0,0.6
80503859,explorer,lost_cause,2012-03-29,2012-03,market_11,offline_store,coupon_offer,0.0,0.237705,0.032369,0.0,0.6
81127950,explorer,lost_cause,2012-03-25,2012-03,market_1,offline_store,coupon_offer,9.3e-05,0.248634,0.100602,0.000205,0.6
82599973,price_sensitive,lost_cause,2012-04-12,2012-04,market_9,offline_store,coupon_offer,0.050522,0.400273,0.120624,0.001304,0.600522
82765230,price_sensitive,lost_cause,2012-03-29,2012-03,market_1,offline_store,coupon_offer,0.001817,0.245545,0.062983,0.0,0.597577
85287702,price_sensitive,sleeping_dog,2012-03-26,2012-03,market_9,offline_store,coupon_offer,0.007971,0.246232,0.036753,0.0,0.589371
88100026,explorer,lost_cause,2012-03-26,2012-03,market_39,offline_store,coupon_offer,9.8e-05,0.245902,0.109558,0.000215,0.6
90548180,price_sensitive,sure_thing,2012-04-23,2012-04,market_8,offline_store,coupon_offer,0.084236,0.527778,0.261436,0.002134,0.600491
90675707,explorer,lost_cause,2012-03-26,2012-03,market_39,offline_store,coupon_offer,0.0,0.243169,0.043388,0.0,0.6
94315295,price_sensitive,lost_cause,2012-03-29,2012-03,market_8,offline_store,coupon_offer,0.000863,0.23519,0.036287,0.001142,0.599826
96862813,explorer,lost_cause,2012-03-25,2012-03,market_39,offline_store,coupon_offer,0.000475,0.25,0.089793,0.001044,0.6
97167859,price_sensitive,sure_thing,2012-04-02,2012-04,market_1,offline_store,coupon_offer,0.001315,0.211113,0.03447,0.0,0.598246
97293086,explorer,sure_thing,2012-03-25,2012-03,market_1,offline_store,coupon_offer,0.0,0.240437,0.034435,0.0,0.6
97466869,explorer,lost_cause,2012-03-26,2012-03,market_11,offline_store,coupon_offer,0.0,0.244536,0.052342,0.0,0.6
97569740,price_sensitive,lost_cause,2012-04-26,2012-04,market_1,offline_store,coupon_offer,0.084832,0.520947,0.21011,0.003746,0.601498
97984848,explorer,lost_cause,2012-04-04,2012-04,market_14,offline_store,coupon_offer,0.016667,0.300091,0.08373,0.0,0.6
98075215,explorer,lost_cause,2012-03-28,2012-03,market_1,offline_store,coupon_offer,0.0,0.23224,0.02135,0.0,0.6
98202210,explorer,lost_cause,2012-03-26,2012-03,market_9,offline_store,coupon_offer,0.0,0.245902,0.057851,0.0,0.6
98411638,explorer,lost_cause,2012-04-18,2012-04,market_7,offline_store,coupon_offer,0.000936,0.247268,0.055611,0.002059,0.6
98776344,explorer,lost_cause,2012-03-25,2012-03,market_1,offline_store,coupon_offer,0.0,0.248634,0.014463,0.0,0.6
98948079,price_sensitive,lost_cause,2012-03-30,2012-03,market_1,offline_store,coupon_offer,0.036219,0.354166,0.098111,0.001393,0.596997
99056555,explorer,sure_thing,2012-03-29,2012-03,market_11,offline_store,coupon_offer,0.0,0.241803,0.071625,0.0,0.6
99088826,explorer,sure_thing,2012-04-03,2012-04,market_1,offline_store,coupon_offer,8.3e-05,0.23224,0.070293,0.000182,0.6
99155110,price_sensitive,sure_thing,2012-03-27,2012-03,market_1,offline_store,coupon_offer,0.002439,0.244525,0.034399,0.0,0.596748
99644579,explorer,lost_cause,2012-03-25,2012-03,market_4,offline_store,coupon_offer,0.0,0.25,0.053719,0.0,0.6
99646260,price_sensitive,sure_thing,2012-04-23,2012-04,market_1,offline_store,coupon_offer,0.083508,0.523679,0.250016,0.000437,0.600175
99782855,explorer,lost_cause,2012-03-28,2012-03,market_39,offline_store,coupon_offer,0.0,0.245902,0.081267,0.0,0.6
99814147,explorer,lost_cause,2012-03-28,2012-03,market_1,offline_store,coupon_offer,9.7e-05,0.243169,0.058593,0.000214,0.6
100453554,explorer,lost_cause,2012-03-28,2012-03,market_4,offline_store,coupon_offer,0.0,0.245902,0.065427,0.0,0.6
100568149,explorer,lost_cause,2012-04-16,2012-04,market_8,offline_store,coupon_offer,0.0,0.25,0.014463,0.0,0.6
